Tanggal;Saham;Sentiment_Score;Headline
2026-04-01 00:00:00;Adaro Andalan Indonesia;-0,1909;No News
2026-03-31 00:00:00;Adaro Andalan Indonesia;-0,1909;IHSG Siang Ini Turun 0,53% ke 7.053, HEAL, AADI dan BREN Top Losers LQ45 | Asing Net Sell Rp686,13 Miliar, BBRI dan BBCA Paling Banyak Dijual
2026-03-30 00:00:00;Adaro Andalan Indonesia;-0,0258;No News
2026-03-27 00:00:00;Adaro Andalan Indonesia;-0,2263;IHSG Jumat (27/3) Diproyeksi Bergerak Terbatas, Simak Rekomendasi Saham Hari Ini
2026-03-26 00:00:00;Adaro Andalan Indonesia;0,296;Net Buy Rp103,12 Miliar, Asing Incar Saham-saham Ini
2026-03-25 00:00:00;Adaro Andalan Indonesia;0,296;No News
2026-03-24 00:00:00;Adaro Andalan Indonesia;0,296;No News
2026-03-23 00:00:00;Adaro Andalan Indonesia;0,296;No News
2026-03-20 00:00:00;Adaro Andalan Indonesia;0,296;No News
2026-03-19 00:00:00;Adaro Andalan Indonesia;0,296;No News
2026-03-18 00:00:00;Adaro Andalan Indonesia;0,296;No News
2026-03-17 00:00:00;Adaro Andalan Indonesia;0,296;No News
2026-03-16 00:00:00;Adaro Andalan Indonesia;0,296;Net Buy Rp1,02 Triliun, Asing Koleksi Saham-saham Ini Kala IHSG Jeblok
2026-03-13 00:00:00;Adaro Andalan Indonesia;-0,28595;IHSG Siang Ini Ambruk 1,81% ke 7.228, AMMN, ISAT dan MBMA Top Losers LQ45 | IHSG Diproyeksi Konsolidasi Hari Ini (13/3), Cek Saham Pilihan Analis
2026-03-12 00:00:00;Adaro Andalan Indonesia;0,24915;Dana Rp1 Triliun Masuk RI, Ini 10 Saham Incaran Asing Saat IHSG Merah | IHSG Jeda Siang Naik 0,53% ke 7.428, ISAT, AADI dan ADRO Top Gainers LQ45
2026-03-11 00:00:00;Adaro Andalan Indonesia;0,0554;IHSG Sesi Siang Terkoreksi ke Level 7.437, INCO, AADI dan INKP Top Losers LQ45 | Asing Jualan Rp2,63 Triliun Meski IHSG Menguat, Saham-saham Ini Jadi Korban!
2026-03-10 00:00:00;Adaro Andalan Indonesia;0,4404;No News
2026-03-09 00:00:00;Adaro Andalan Indonesia;0,4404;No News
